HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,PROJECTCODE,EAST,NORTH,RL,DEPTH,TENEMENTID,PROSPECT,STARTDATE,ENDDATE,DDHName,PlannedHoleID,Geologist1,Geologist2,DrillholeStatus,HolePurposeComment,HoleGeneralComment,Drillhole_Coordinateset_D,Drillhole_Best_X_D,Drillhole_Best_Y_D,Drillhole_Best_Z_D,MapSection,LocationGridName,XGridLine,YGridLine,BestGridName_D,WedgeHole,StartDrillingDepth
CIG____10___,57.92262679,-104.5597106,WCI,526082,6420180,466.6,404.5,ML 5463,JIGGER,20-mars-81,24-mars-81,WQ17_010,,G. Breton,G. Breton,Complete,,,NAD83_UTMZ13N_LEGACY,526082,6420180,466.6,074H15,Q17,,,NAD83_UTMZ13N,,
CIG____11___,58.0296512,-104.4534678,WCI,532279,6432141,457,453.2,ML 5463,POWER-LINE NE,27-mars-81,02-Apr-1981,WQS1_011,,G. Breton,K. Schimann,Complete,,,NAD83_UTMZ13N_LEGACY,532279,6432141,457,074I01,QS1,,,NAD83_UTMZ13N,,
CIG____12___,58.01034327,-104.5095235,WCI,528984,6429966,458,450.2,ML 5463,POWER-LINE EAST,06-Apr-1981,12-Apr-1981,WQS1_012,,G. Breton,J. Beaudin,Complete,,,NAD83_UTMZ13N_LEGACY,528984,6429966,458,074I02,QS1,,,NAD83_UTMZ13N,,
CIG____13___,57.96236517,-104.5396699,WCI,527239,6424612,470,448.7,ML 5463,JIGGER NORTH,17-Apr-1981,22-Apr-1981,WQS1_013,,G. Breton,J. Beaudin,Complete,,,NAD83_UTMZ13N_LEGACY,527239,6424612,470,074H15,QS1,,,NAD83_UTMZ13N,,
CIG____14___,58.01977037,-104.6562733,WCI,520307,6430962,502,611.7,ML 5463,REGIONAL,24-Apr-1981,01-May-1981,WQS2_014,,J. Chevalier,J. Chevalier,Complete,,,NAD83_UTMZ13N_LEGACY,520307,6430962,502,074I02,QS2,,,NAD83_UTMZ13N,,
CIG____15___,58.07061898,-104.5499572,WCI,526550,6436660,481.8,561.7,ML 5463,CIGAR,05-May-1981,11-May-1981,WQS2_015,,C. Breton,C. Breton,Complete,,,NAD83_UTMZ13N_LEGACY,526550,6436660,481.8,074I02,QS2,,,NAD83_UTMZ13N,,
CIG____16___,58.03155212,-104.4696776,WCI,531320,6432345,460,394,ML 5463,POWER-LINE NE,09-Feb-1982,16-Feb-1982,WQS1_016,,J. Beaudin,P. Caumartin,Complete,,9030A and 9055 on open hole. No source used 9067-9068 through the NQ rods. For deviation: log finished at 50.0 m to avoid false deviation due to steel casing. Probe 9055A: resistance and SP measured.,NAD83_UTMZ13N_LEGACY,531320,6432345,460,074I01,QS1,L60+00E,40+70N,NAD83_UTMZ13N,,
CIG____17___,58.07023136,-104.5546745,WCI,526272,6436615,464.3,530,ML 5463,CIGAR,17-Feb-1982,21-Feb-1982,WQS2_017,,J. Beaudin,P. Caumartin,Complete,,,NAD83_UTMZ13N_LEGACY,526272,6436615,464.3,074I02,QS2,L10+00S,6+50E,NAD83_UTMZ13N,,
CIG____18___,58.06989696,-104.5540854,WCI,526307,6436578,464.6,530,ML 5463,CIGAR,22-Feb-1982,28-Feb-1982,WQS2_018,,J. Beaudin,P. Caumartin,Complete,,,NAD83_UTMZ13N_LEGACY,526307,6436578,464.6,074I02,QS2,L10+00S,7+00E,NAD83_UTMZ13N,,
CIG____19___,58.07055665,-104.5552299,WCI,526239,6436651,464.6,515,ML 5463,CIGAR,28-Feb-1982,04-mars-82,WQS2_019,,J. Beaudin,P. Caumartin,Complete,Probe malfunctioned.,,NAD83_UTMZ13N_LEGACY,526239,6436651,464.6,074I02,QS2,L10+00S,6+00E,NAD83_UTMZ13N,,
CIG____20___,58.07088224,-104.55587,WCI,526201,6436687,464.4,527,ML 5463,CIGAR,04-mars-82,08-mars-82,WQS2_020,,J. Chevalier,M. Monnier,Complete,,Probing data from WQS2-20 neural log,NAD83_UTMZ13N_LEGACY,526201,6436687,464.4,074I02,QS2,L10+00S,0.550E,NAD83_UTMZ13N,,
CIG____21___,58.07037377,-104.5491975,WCI,526595,6436633,486.3,551,ML 5463,CIGAR,21-mars-82,25-mars-82,WQS2_021,,P. Caumartin,M. Monnier,Complete,,,NAD83_UTMZ13N_LEGACY,526595,6436633,486.3,074I02,QS2,L10+10N,L8+25E,NAD83_UTMZ13N,,
CIG____22___,58.07121651,-104.5564253,WCI,526168,6436724,464.1,536,ML 5463,CIGAR,09-mars-82,15-mars-82,WQS2_022,,J. Chevalier,M. Monnier,Complete,,,NAD83_UTMZ13N_LEGACY,526168,6436724,464.1,074I02,QS2,L10+00S,500E,NAD83_UTMZ13N,,
CIG____23___,58.10417826,-104.4313902,WCI,533513,6440449,456,478.6,ML 5463,CONTACT,09-mars-82,14-mars-82,WQS2_023,,,,Complete,,,NAD83_UTMZ13N_LEGACY,533513,6440449,456,074I01,QS2,L68+50N,20+00E,NAD83_UTMZ13N,,
CIG____24___,58.07098046,-104.5505799,WCI,526513,6436700,469.7,513,ML 5463,CIGAR,15-mars-82,20-mars-82,WQS2_024,,P. Caumartin,P. Caumartin,Complete,,U-low flux only available in database.,NAD83_UTMZ13N_LEGACY,526513,6436700,469.7,074I02,QS2,L7+60S,7+25E,NAD83_UTMZ13N,,
CIG____25___,58.07085581,-104.5534463,WCI,526344,6436685,464.3,523.7,ML 5463,CIGAR,15-mars-82,20-mars-82,WQS2_025,,P. Caumartin,M. Monnier,Complete,,,NAD83_UTMZ13N_LEGACY,526344,6436685,464.3,074I02,QS2,L9+00S,L6+15E,NAD83_UTMZ13N,,
CIG____26___,58.07127865,-104.5510847,WCI,526483,6436733,465.3,537.5,ML 5463,CIGAR,26-mars-82,30-mars-82,WQS2_026,,,,Complete,,,NAD83_UTMZ13N_LEGACY,526483,6436733,465.3,074I02,QS2,L7+48.6S,7+13.1E,NAD83_UTMZ13N,,
CIG____27___,58.07053948,-104.5528908,WCI,526377,6436650,464,530,ML 5463,CIGAR,21-mars-82,26-mars-82,WQS2_027,,P. Caumartin,M. Monnier,Complete,,,NAD83_UTMZ13N_LEGACY,526377,6436650,464,074I02,QS2,L9+00S,L6+75E,NAD83_UTMZ13N,,
CIG____28___,58.07091378,-104.54697,WCI,526726,6436694,485.2,521.6,ML 5463,CIGAR,25-mars-82,31-mars-82,WQS2_028,,,,Complete,,,NAD83_UTMZ13N_LEGACY,526726,6436694,485.2,074I02,QS2,L6+0.68S,9+8.02E,NAD83_UTMZ13N,,
CIG____29___,58.07115747,-104.5447802,WCI,526855,6436722,490.8,550,ML 5463,CIGAR,31-mars-82,06-Apr-1982,WQS2_029,,,,Complete,,,NAD83_UTMZ13N_LEGACY,526855,6436722,490.8,074I02,QS2,L4+87S,9+76E,NAD83_UTMZ13N,,
CIG____30___,58.07042139,-104.5576556,WCI,526096,6436635,464.4,468,ML 5463,CIGAR,31-mars-82,04-Apr-1982,WQS2_030,,,,Complete,,Only U Low-flux available in database.,NAD83_UTMZ13N_LEGACY,526096,6436635,464.4,074I02,QS2,L10+97S,5+17E,NAD83_UTMZ13N,,
CIG____31___,58.07050058,-104.5597736,WCI,525971,6436643,466.8,530.4,ML 5463,CIGAR,07-Apr-1982,11-Apr-1982,WQS2_031,,,,Complete,,,NAD83_UTMZ13N_LEGACY,525971,6436643,466.8,074I02,QS2,L11+82S,L4+25E,NAD83_UTMZ13N,,
CIG____32___,57.93103114,-104.5435664,WCI,527032,6421122,476,389,ML 5463,JIGGER,06-Apr-1982,09-Apr-1982,WQ17_032,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527032,6421122,476,074H15,Q17,L39+20W,23+00S,NAD83_UTMZ13N,,
CIG____33___,58.07013257,-104.5624564,WCI,525813,6436601,476,549.7,ML 5463,CIGAR,10-juin-82,17-juin-82,WDG1_033,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,525813,6436601,476,074I02,DG1,L7+00W,1+00S,NAD83_UTMZ13N,,
CIG____34___,58.07102176,-104.5624455,WCI,525813,6436700,471.2,535,ML 5463,CIGAR,17-juin-82,23-juin-82,WDG1_034,,J. Learn,J. Learn,Complete,,Only U low-fux available in database.,NAD83_UTMZ13N_LEGACY,525813,6436700,471.2,074I02,DG1,L7+00W,L0+00S,NAD83_UTMZ13N,,
CIG____35___,58.07147085,-104.56244,WCI,525813,6436750,469.6,537,ML 5463,CIGAR,23-juin-82,28-juin-82,WDG1_035,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,525813,6436750,469.6,074I02,DG1,L7+00W,L0+50N,NAD83_UTMZ13N,,
CIG____36___,58.07167791,-104.5446328,WCI,526863.3,6436780,490,62,ML 5463,CIGAR,30-juin-82,01-juil-82,WDG1_036,,J. Learn,J. Learn,Complete,Abandoned (casing pulled),x+y values estimated,NAD83_UTMZ13N_LEGACY,526863.3,6436780,490,074I02,DG1,L3+51E,L0+79N,NAD83_UTMZ13N,,
CIG____36_A_,58.07164993,-104.5445234,WCI,526869.779,6436776.929,490,503,ML 5463,CIGAR,01-juil-82,06-juil-82,WDG1_036A,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,526869.779,6436776.929,490,074I02,DG1,L3+51E,L0+79N,NAD83_UTMZ13N,,
CIG____37___,58.07104023,-104.5446461,WCI,526863,6436709,492.2,45,ML 5463,CIGAR,06-juil-82,07-juil-82,WDG1_037,,J. Learn,J. Learn,Complete,Abandoned,,NAD83_UTMZ13N_LEGACY,526863,6436709,492.2,074I02,DG1,L3+50E,L0+10N,NAD83_UTMZ13N,,
CIG____37_A_,58.07102577,-104.5445483,WCI,526868.779,6436707.429,492.2,511,ML 5463,CIGAR,07-juil-82,12-juil-82,WDG1_037A,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,526868.779,6436707.429,492.2,074I02,DG1,L3+50E,L0+10N,NAD83_UTMZ13N,,
CIG____37_B_,58.07102577,-104.5445483,WCI,526868.779,6436707.429,492.2,478.3,ML 5463,CIGAR,12-juil-82,16-juil-82,WDG1_037B,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,526868.779,6436707.429,492.2,074I02,DG1,L3+50E,L0+10N,NAD83_UTMZ13N,,
CIG____37_C_,58.07102577,-104.5445483,WCI,526868.779,6436707.429,492.2,477,ML 5463,CIGAR,17-juil-82,20-juil-82,WDG1_037C,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,526868.779,6436707.429,492.2,074I02,DG1,L3+50E,L0+10N,NAD83_UTMZ13N,,
CIG____38___,58.07141139,-104.5429461,WCI,526963,6436751,496.2,530,ML 5463,CIGAR,21-juil-82,26-juil-82,WDG1_038,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,526963,6436751,496.2,074I02,DG1,L4+50E,L0+50N,NAD83_UTMZ13N,,
CIG____39___,58.071549,-104.5412492,WCI,527063,6436767,494.1,530,ML 5463,CIGAR,27-juil-82,02-Aug-1982,WDG1_039,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527063,6436767,494.1,074I02,DG1,L5+51E,L0+66N,NAD83_UTMZ13N,,
CIG____39_A_,58.071549,-104.5412492,WCI,527063,6436767,494.1,481,ML 5463,CIGAR,02-Aug-1982,14-Aug-1982,WDG1_039A,,J. Learn,J. Learn,Complete,,Hole from August 2 1982  to August 4 1982 then restarted August 11 1982 and ended August 14 1982.,NAD83_UTMZ13N_LEGACY,527063,6436767,494.1,074I02,DG1,L5+51E,L0+66N,NAD83_UTMZ13N,,
CIG____40___,58.0717315,-104.5395517,WCI,527163,6436788,488.2,493,ML 5463,CIGAR,05-Aug-1982,10-Aug-1982,WDG1_040,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527163,6436788,488.2,074I02,DG1,L6+50E,L0+86N,NAD83_UTMZ13N,,
CIG____41___,58.0804366,-104.5500202,WCI,526539,6437753,502.2,583.25,ML 5463,TIBIA LAKE,15-Aug-1982,21-Aug-1982,WQS2_041,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,526539,6437753,502.2,074I02,QS2,L0+00S,L0+00E,NAD83_UTMZ13N,,
CIG____42___,58.07204877,-104.5378693,WCI,527262,6436824,485.3,509.6,ML 5463,CIGAR,08-Feb-1983,14-Feb-1983,WDG1_042,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527262,6436824,485.3,074I02,DG1,L7+49E,1+21N,NAD83_UTMZ13N,,
CIG____42_A_,58.07204877,-104.5378693,WCI,527262,6436824,485.3,495.9,ML 5463,CIGAR,15-Feb-1983,22-Feb-1983,WDG1_042A,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527262,6436824,485.3,074I02,DG1,L7+49E,1+21N,NAD83_UTMZ13N,,
CIG____42_B_,58.07204877,-104.5378693,WCI,527262,6436824,485.3,454.8,ML 5463,CIGAR,23-Feb-1983,28-Feb-1983,WDG1_042B,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527262,6436824,485.3,074I02,DG1,L7+49E,1+21N,NAD83_UTMZ13N,,
CIG____43___,58.07992069,-104.551451,WCI,526455,6437695,504,571.5,ML 5463,TIBIA LAKE,13-Feb-1983,21-Feb-1983,WQS2_043,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,526455,6437695,504,074I02,QS2,L0+14W,1+00S,NAD83_UTMZ13N,,
CIG____44___,58.07161734,-104.5377901,WCI,527267,6436776,486.4,477.4,ML 5463,CIGAR,23-Feb-1983,01-mars-83,WDG1_044,,J. Beaudin,J. Beaudin,Complete,,,NAD83_UTMZ13N_LEGACY,527267,6436776,486.4,074I02,DG1,L7+55E,L0+74N,NAD83_UTMZ13N,,
CIG____44_A_,58.07161734,-104.5377901,WCI,527267,6436776,486.4,452.9,ML 5463,CIGAR,02-mars-83,11-mars-83,WDG1_044A,,J. Beaudin,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527267,6436776,486.4,074I02,DG1,L7+55E,L0+74N,NAD83_UTMZ13N,,
CIG____45___,58.07197973,-104.536175,WCI,527362,6436817,481.3,495.6,ML 5463,CIGAR,01-mars-83,08-mars-83,WDG1_045,,D.Chainey,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527362,6436817,481.3,074I02,DG1,L8+50E,L1+17N,NAD83_UTMZ13N,,
CIG____45_A_,58.07197973,-104.536175,WCI,527362,6436817,481.3,445.3,ML 5463,CIGAR,08-mars-83,14-mars-83,WDG1_045A,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527362,6436817,481.3,074I02,DG1,L8+50E,L1+17N,NAD83_UTMZ13N,,
CIG____45_B_,58.07197973,-104.536175,WCI,527362,6436817,481.3,468.18,ML 5463,CIGAR,15-mars-83,20-mars-83,WDG1_045B,,J. Beaudin,J. Beaudin,Complete,,,NAD83_UTMZ13N_LEGACY,527362,6436817,481.3,074I02,DG1,L8+50E,L1+17N,NAD83_UTMZ13N,,
CIG____46___,58.07149153,-104.5377748,WCI,527268,6436762,486.7,501.7,ML 5463,CIGAR,12-mars-83,18-mars-83,WDG1_046,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527268,6436762,486.7,074I02,DG1,L7+55E,L0+60N,NAD83_UTMZ13N,,
CIG____46_A_,58.07149153,-104.5377748,WCI,527268,6436762,486.7,459,ML 5463,CIGAR,18-mars-83,25-mars-83,WDG1_046A,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527268,6436762,486.7,074I02,DG1,L7+55E,L0+60N,NAD83_UTMZ13N,,
CIG____47___,58.07167753,-104.5345854,WCI,527456,6436784,481.6,414.8,ML 5463,CIGAR,01-Apr-1983,01-Apr-1983,WDG1_047,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527456,6436784,481.6,074I02,DG1,L9+44E,L0+84N,NAD83_UTMZ13N,,
CIG____47_A_,58.07167753,-104.5345854,WCI,527456,6436784,481.6,472.5,ML 5463,CIGAR,07-Apr-1983,09-Apr-1983,WDG1_047A,,R. St-Jean,R. St-Jean,Complete,,,NAD83_UTMZ13N_LEGACY,527456,6436784,481.6,074I02,DG1,L9+44E,L0+84N,NAD83_UTMZ13N,,
CIG____47_B_,58.07167753,-104.5345854,WCI,527456,6436784,481.6,434.7,ML 5463,CIGAR,01-Apr-1983,01-Apr-1983,WDG1_047B,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527456,6436784,481.6,074I02,DG1,L9+44E,L0+84N,NAD83_UTMZ13N,,
CIG____47_C_,58.07167753,-104.5345854,WCI,527456,6436784,481.6,327.1,ML 5463,CIGAR,01-Apr-1983,01-Apr-1983,WDG1_047C,,,,Complete,Abandoned wedge,,NAD83_UTMZ13N_LEGACY,527456,6436784,481.6,074I02,DG1,L9+44E,L0+84N,NAD83_UTMZ13N,,
CIG____47_D_,58.07167753,-104.5345854,WCI,527456,6436784,481.6,459.03,ML 5463,CIGAR,01-Apr-1983,01-Apr-1983,WDG1_047D,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527456,6436784,481.6,074I02,DG1,L9+44E,L0+84N,NAD83_UTMZ13N,,
CIG____48___,58.07185086,-104.5377871,WCI,527267,6436802,486,460.6,ML 5463,CIGAR,28-mars-83,01-Apr-1983,WDG1_048,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527267,6436802,486,074I02,DG1,L7+55E,L1+00N,NAD83_UTMZ13N,,
CIG____48_A_,58.07185086,-104.5377871,WCI,527267,6436802,486,460.6,ML 5463,CIGAR,01-Apr-1983,01-Apr-1983,WDG1_048A,,,,Complete,,,NAD83_UTMZ13N_LEGACY,527267,6436802,486,074I02,DG1,L7+55E,L1+00N,NAD83_UTMZ13N,,
CIG____48_B_,58.07185086,-104.5377871,WCI,527267,6436802,486,517,ML 5463,CIGAR,12-Apr-1983,16-Apr-1983,WDG1_048B,,R. St-Jean,R. St-Jean,Complete,,,NAD83_UTMZ13N_LEGACY,527267,6436802,486,074I02,DG1,L7+55E,L1+00N,NAD83_UTMZ13N,,
CIG____49___,58.07123999,-104.5377611,WCI,527269,6436734,487.3,453.2,ML 5463,CIGAR,14-Apr-1983,17-Apr-1983,WDG1_049,,R. St-Jean,R. St-Jean,Complete,,,NAD83_UTMZ13N_LEGACY,527269,6436734,487.3,074I02,DG1,L7+56E,L0+33N,NAD83_UTMZ13N,,
CIG____49_A_,58.07123999,-104.5377611,WCI,527269,6436734,487.3,468.5,ML 5463,CIGAR,15-juin-83,22-juin-83,WDG1_049A,,P. Bruneton,P. Bruneton,Complete,,,NAD83_UTMZ13N_LEGACY,527269,6436734,487.3,074I02,DG1,L7+56E,L0+33N,NAD83_UTMZ13N,,
CIG____49_B_,58.07123999,-104.5377611,WCI,527269,6436734,487.3,479.6,ML 5463,CIGAR,22-juin-83,28-juin-83,WDG1_049B,,P. Bruneton,P. Bruneton,Complete,,,NAD83_UTMZ13N_LEGACY,527269,6436734,487.3,074I02,DG1,L7+56E,L0+33N,NAD83_UTMZ13N,,
CIG____50___,58.07140752,-104.5344364,WCI,527465,6436754,489.1,483.4,ML 5463,CIGAR,14-Apr-1983,17-Apr-1983,WDG1_050,,J. Beaudin,R. St.-Jean,Complete,,,NAD83_UTMZ13N_LEGACY,527465,6436754,489.1,074I02,DG1,L9+50E,L0+52N,NAD83_UTMZ13N,,
CIG____51___,58.0715454,-104.5328411,WCI,527559,6436770,499.8,526.1,ML 5463,CIGAR,19-Apr-1983,21-Apr-1983,WDG1_051,,R. St-Jean,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527559,6436770,499.8,074I02,DG1,L10+48E,L0+68N,NAD83_UTMZ13N,,
CIG____51_A_,58.0715454,-104.5328411,WCI,527559,6436770,499.8,510.6,ML 5463,CIGAR,16-juin-83,20-juin-83,WDG1_051A,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527559,6436770,499.8,074I02,DG1,L10+48E,L0+68N,NAD83_UTMZ13N,,
CIG____52___,58.07195509,-104.5343445,WCI,527470,6436815,481.7,495.6,ML 5463,CIGAR,08-juin-83,22-juin-83,WDG1_052,,P. Bruneton,P. Bruneton,Complete,,,NAD83_UTMZ13N_LEGACY,527470,6436815,481.7,074I02,DG1,L9+59E,L1+14N,NAD83_UTMZ13N,,
CIG____52_A_,58.07195509,-104.5343445,WCI,527470,6436815,481.6,468,ML 5463,CIGAR,08-juin-83,22-juin-83,WDG1_052A,,P. Bruneton,P. Bruneton,Complete,,Gamma neutron and low-flux available for CIG-52. CIG-52A contains probing graphs but not entered in database.,NAD83_UTMZ13N_LEGACY,527470,6436815,481.6,074I02,DG1,L9+59E,L1+14N,NAD83_UTMZ13N,,
CIG____53___,58.07120082,-104.5344052,WCI,527467,6436731,491.2,471.3,ML 5463,CIGAR,18-juin-83,24-juin-83,WDG1_053,,J. Learn,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527467,6436731,491.2,074I02,DG1,L9+55E,L0+30N,NAD83_UTMZ13N,,
CIG____53_A_,58.07120082,-104.5344052,WCI,527467,6436731,491.2,480.4,ML 5463,CIGAR,24-juin-83,28-juin-83,WDG1_053A,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527467,6436731,491.2,074I02,DG1,L9+55E,L0+30N,NAD83_UTMZ13N,,
CIG____53_B_,58.07120082,-104.5344052,WCI,527467,6436731,491.2,514.2,ML 5463,CIGAR,28-juin-83,03-juil-83,WDG1_053B,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527467,6436731,491.2,074I02,DG1,L9+55E,L0+30N,NAD83_UTMZ13N,,
CIG____53_C_,58.07120082,-104.5344052,WCI,527467,6436731,491.2,483.7,ML 5463,CIGAR,28-juin-83,03-juil-83,WDG1_053C,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527467,6436731,491.2,074I02,DG1,L9+55E,L0+30N,NAD83_UTMZ13N,,
CIG____54___,58.07194059,-104.5328359,WCI,527559,6436814,496.5,483.4,ML 5463,CIGAR,20-juin-83,26-juin-83,WDG1_054,,D.Chainey,D. Laidlaw,Complete,,,NAD83_UTMZ13N_LEGACY,527559,6436814,496.5,074I02,DG1,L10+48E,L1+13N,NAD83_UTMZ13N,,
CIG____55___,58.07258092,-104.5310984,WCI,527661,6436886,492,524.3,ML 5463,CIGAR,26-juin-83,30-juin-83,WDG1_055,,D.Chainey,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527661,6436886,492,074I02,DG1,L11+49E,L1+85N,NAD83_UTMZ13N,,
CIG____56___,58.07093479,-104.5378159,WCI,527266,6436700,487.3,486.8,ML 5463,CIGAR,28-juin-83,03-juil-83,WDG1_056,,P. Bruneton,P. Bruneton,Complete,,,NAD83_UTMZ13N_LEGACY,527266,6436700,487.3,074I02,DG1,L7+55E,L0+00N,NAD83_UTMZ13N,,
CIG____56_A_,58.07093479,-104.5378159,WCI,527266,6436700,487.3,480.7,ML 5463,CIGAR,03-juil-83,03-juil-83,WDG1_056A,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527266,6436700,487.3,074I02,DG1,L7+55E,L0+00S,NAD83_UTMZ13N,,
CIG____56_B_,58.07093479,-104.5378159,WCI,527266,6436700,487.3,501.4,ML 5463,CIGAR,08-juil-83,12-juil-83,WDG1_056B,,D.Chainey,D.Chainey,Complete,,,NAD83_UTMZ13N_LEGACY,527266,6436700,487.3,074I02,DG1,L7+55E,L0+00S,NAD83_UTMZ13N,,
CIG____57___,58.07153308,-104.5343839,WCI,527468,6436768,485.9,473.7,ML 5463,CIGAR,29-juin-83,08-juil-83,WDG1_057,,D. Laidlaw,J. Learn,Complete,,,NAD83_UTMZ13N_LEGACY,527468,6436768,485.9,074I02,DG1,L9+55E,L0+67N,NAD83_UTMZ13N,,
